data;mes;ano;apolices_vida_ativas;apolices_auto_ativas;total_apolices;premio_medio_vida;premio_medio_auto;receita_vida;receita_auto;receita_total;novas_apolices_vida;novas_apolices_auto;cancelamentos_vida;cancelamentos_auto
2024-01-31;1;2024;8000;12000;20000;85,54;181,7;684332,11;2180368,1;2864700,22;8000;12000;240;600
2024-02-29;2;2024;8800;13200;22000;85,13;180,92;749170,16;2388150,66;3137320,82;704;1584;264;660
2024-03-31;3;2024;9600;14400;24000;84,79;181,26;813970,9;2610205,39;3424176,28;768;1728;288;720
2024-04-30;4;2024;10400;15600;26000;85,01;181,63;884095,42;2833404,18;3717499,59;832;1872;312;780
2024-05-31;5;2024;11200;16800;28000;85,1;180,99;953151,22;3040585,96;3993737,17;896;2016;336;840
2024-06-30;6;2024;12000;18000;30000;84,96;181,29;1019570,67;3263230,16;4282800,83;960;2160;360;900
2024-07-31;7;2024;12800;19200;32000;85,26;181,4;1091286,25;3482963,32;4574249,57;1024;2304;384;960
2024-08-31;8;2024;13600;20400;34000;85,02;180,81;1156302,96;3688539,84;4844842,8;1088;2448;408;1020
2024-09-30;9;2024;14400;21600;36000;85,12;181,32;1225789,86;3916513,12;5142302,97;1152;2592;432;1080
2024-10-31;10;2024;15200;22800;38000;85,36;180,78;1297517,67;4121686,47;5419204,15;1216;2736;456;1140
2024-11-30;11;2024;16000;24000;40000;85,02;181,2;1360242,71;4348734,1;5708976,81;1280;2880;480;1200
2024-12-31;12;2024;16800;25200;42000;85,05;181,46;1428887,14;4572687,43;6001574,57;1344;3024;504;1260
