segurado_id;idade;renda_mensal;estado;tipo_seguro;data_contratacao;canal_aquisicao;score_risco;tem_dependentes
1;34;8887,29;SP;Vida;2024-01-29;Site;4,2;False
2;60;7082,31;SP;Ambos;2024-05-04;Site;3,3;True
3;46;4181,4;SP;Auto;2024-04-21;Site;2,8;False
4;41;6652,85;CE;Ambos;2024-11-08;Site;3,6;True
5;25;4023,59;SC;Ambos;2024-04-07;Site;3,7;True
6;25;3841,95;SP;Vida;2024-07-22;Site;2,3;True
7;20;5243,24;SP;Ambos;2024-12-04;Indicação;2,3;True
8;53;6102,19;RS;Vida;2024-05-07;App;3,4;True
9;41;6799,86;MG;Auto;2024-09-12;App;1,2;True
10;45;12600,16;SP;Auto;2024-04-12;App;3,7;True
11;19;4680,1;CE;Vida;2024-03-26;App;2,4;True
12;64;7614,4;MG;Vida;2024-09-22;App;4,0;False
13;51;7205,64;RS;Ambos;2024-03-22;Redes Sociais;2,4;True
14;28;4332,76;BA;Vida;2024-01-01;App;4,7;False
15;26;6985,69;SP;Vida;2024-08-05;Site;4,9;True
16;26;13385,2;MG;Auto;2024-12-10;Redes Sociais;2,8;False
17;31;7559,45;MG;Auto;2024-04-23;App;3,0;False
18;39;7774,53;CE;Ambos;2024-07-23;App;2,6;True
19;36;4049,18;SP;Auto;2024-08-18;App;3,8;True
20;31;26323,07;PR;Auto;2024-10-21;Site;4,7;True
21;42;4213,93;MG;Ambos;2024-06-22;Site;2,1;True
22;24;2064,31;BA;Auto;2024-05-19;App;1,9;True
23;31;12114,14;BA;Auto;2024-05-09;Redes Sociais;4,0;False
24;33;6121,9;SP;Vida;2024-03-13;App;4,3;True
25;36;5366,18;SP;Ambos;2024-10-15;Indicação;3,0;False
26;48;4528,35;SP;Auto;2024-05-08;App;5,0;True
27;27;24592,58;RJ;Auto;2024-09-07;Site;3,8;False
28;38;8503,33;GO;Vida;2024-10-04;Site;2,6;False
29;41;9748,08;SP;Auto;2024-03-08;Redes Sociais;3,1;True
30;20;7434,09;RJ;Auto;2024-10-03;App;3,0;False
31;42;8014,72;GO;Vida;2024-10-11;Redes Sociais;2,8;True
32;26;17659,64;PE;Auto;2024-10-02;Redes Sociais;3,3;True
33;21;5565,83;RS;Auto;2024-03-09;Redes Sociais;1,0;True
34;60;2392,62;BA;Vida;2024-02-20;Site;2,7;False
35;63;12181,07;SP;Vida;2024-01-27;App;3,4;True
36;49;9392,73;SP;Vida;2024-04-06;Site;3,6;False
37;31;7155,14;SP;Auto;2024-01-22;Indicação;2,7;True
38;22;9223,66;MG;Auto;2024-04-17;App;3,7;False
39;45;5117,8;RJ;Auto;2024-10-23;Indicação;3,5;False
