data;mes;ano;sinistros_vida;sinistros_auto;total_sinistros;valor_medio_sinistro_vida;valor_medio_sinistro_auto;valor_total_sinistros_vida;valor_total_sinistros_auto;tempo_medio_resolucao_vida_dias;tempo_medio_resolucao_auto_dias;taxa_aprovacao_vida;taxa_aprovacao_auto;sinistralidade_vida;sinistralidade_auto
2024-01-31;1;2024;15;180;195;35956,15;6681,47;539342,18;1202664,04;16,3;8,0;87,5;89,9;79,32;55,68
2024-02-29;2;2024;16;194;210;38253,73;6630,53;612059,72;1286323,61;17,0;7,9;86,7;93,4;81,83;54,14
2024-03-31;3;2024;17;208;225;33264,17;6935,33;565490,94;1442547,61;13,8;7,7;89,5;95,0;69,3;55,65
2024-04-30;4;2024;18;223;241;34258,99;7705,0;616661,88;1718214,21;13,7;7,8;91,5;89,7;69,76;61,19
2024-05-31;5;2024;19;237;256;40085,74;7372,56;761629,0;1747296,61;14,6;7,8;87,5;86,8;80,0;57,78
2024-06-30;6;2024;21;251;272;42086,43;7336,87;883814,98;1841554,92;13,8;7,4;88,1;83,7;86,65;56,84
2024-07-31;7;2024;22;266;288;41133,95;7348,2;904946,88;1954620,08;18,3;7,4;94,2;92,3;83,18;56,56
2024-08-31;8;2024;23;280;303;56535,54;7317,62;1300317,51;2048934,19;16,3;8,0;95,6;78,2;112,48;55,8
2024-09-30;9;2024;24;295;319;72239,61;6774,75;1733750,74;1998551,69;12,8;8,0;94,1;81,7;141,65;51,4
2024-10-31;10;2024;25;309;334;55316,33;7162,68;1382908,25;2213267,27;16,0;8,4;90,1;89,9;107,04;53,93
2024-11-30;11;2024;27;324;351;54732,19;7295,9;1477769,22;2363871,5;16,0;8,7;87,0;91,8;108,66;54,72
2024-12-31;12;2024;28;338;366;53223,88;7087,88;1490268,72;2395701,84;13,4;7,9;91,6;85,1;104,36;52,82
