data;mes;ano;leads_app;leads_site;leads_indicacao;leads_redes_sociais;total_leads;vendas_app;vendas_site;vendas_indicacao;vendas_redes_sociais;total_vendas;conversao_app;conversao_site;conversao_indicacao;conversao_redes_sociais;cac_app;cac_site;cac_indicacao;cac_redes_sociais
2024-01-31;1;2024;5000;3500;1200;800;10500;650;285;371;65;1371;13,01;8,14;30,95;8,17;48,11;82,49;23,3;83,31
2024-02-29;2;2024;5750;3920;1296;960;11926;806;316;358;51;1531;14,02;8,07;27,63;5,37;43,02;60,43;28,74;79,23
2024-03-31;3;2024;6500;4340;1392;1120;13352;791;442;299;112;1644;12,18;10,2;21,5;10,0;39,72;58,44;28,47;77,95
2024-04-30;4;2024;7250;4760;1488;1280;14778;946;470;381;85;1882;13,06;9,88;25,63;6,65;51,5;75,68;24,37;73,88
2024-05-31;5;2024;8000;5180;1584;1440;16204;829;339;325;51;1544;10,37;6,55;20,58;3,54;45,48;49,63;29,53;102,68
2024-06-30;6;2024;8750;5600;1680;1600;17630;826;424;393;71;1714;9,44;7,58;23,43;4,48;47,63;65,22;20,45;76,18
2024-07-31;7;2024;9500;6020;1776;1760;19056;1289;554;485;79;2407;13,57;9,21;27,32;4,54;30,39;67,17;25,57;77,34
2024-08-31;8;2024;10250;6439;1872;1920;20481;1395;626;437;110;2568;13,61;9,73;23,35;5,78;51,47;62,25;27,65;81,77
2024-09-30;9;2024;11000;6860;1968;2080;21908;880;755;473;88;2196;8,0;11,02;24,04;4,26;47,18;65,77;24,41;81,54
2024-10-31;10;2024;11749;7280;2064;2240;23333;1333;607;371;163;2474;11,35;8,34;18,0;7,31;42,03;63,15;20,01;70,82
2024-11-30;11;2024;12500;7700;2160;2400;24760;1323;721;603;88;2735;10,59;9,37;27,96;3,68;53,45;71,44;28,02;91,31
2024-12-31;12;2024;13250;8119;2256;2560;26185;2012;505;595;154;3266;15,19;6,23;26,37;6,04;50,17;52,64;22,28;96,68
